pl_name,pl_rade,pl_masse,pl_radj,pl_massj,st_dist,pl_disc,pl_telescope,pl_eqt
HD 125595 b,,,,,27.45,2009,3.6 m ESO Telescope,
HD 125612 b,,,,,52.83,2007,10 m Keck I Telescope,
HD 125612 c,,,,,52.83,2009,3.6 m ESO Telescope,
HD 125612 d,,,,,52.83,2009,3.6 m ESO Telescope,
HD 12648 b,,,,,158.40,2015,1.8 m Telescope,
HD 12661 b,,,,,37.16,2000,Multiple Telescopes,
HD 12661 c,,,,,37.16,2002,Multiple Telescopes,
HD 126614 b,,,,,68.35,2009,10 m Keck I Telescope,
HD 128311 b,,,,,,2002,10 m Keck I Telescope,
HD 128311 c,,1204.25787,,3.78900,,2005,10 m Keck I Telescope,
HD 129445 b,,,,,67.61,2009,6.5 m Magellan II Clay Telescope,
HD 130322 b,,,,,29.76,1999,1.2 m Leonhard Euler Telescope,
HD 131496 b,,,,,121.36,2011,10 m Keck I Telescope,
HD 131664 b,,,,,57.21,2008,3.6 m ESO Telescope,
HD 13189 b,,,,,300.30,2005,2.0 m Alfred Jensch Telescope,
HD 132406 b,,,,,70.97,2007,1.93 m Telescope,
HD 132563 b,,,,,98.52,2011,3.58 m Telescopio Nazionale Galileo,
HD 134987 b,,,,,25.65,1999,10 m Keck I Telescope,
HD 134987 c,,,,,25.65,2009,Multiple Telescopes,
HD 136418 b,,,,,106.38,2009,10 m Keck I Telescope,
HD 137388 A b,,,,,38.45,2011,3.6 m ESO Telescope,
HD 13908 b,,,,,66.89,2013,1.93 m Telescope,
HD 13908 c,,,,,66.89,2013,1.93 m Telescope,
HD 13931 b,,,,,45.52,2009,10 m Keck I Telescope,
HD 139357 b,,,,,121.36,2008,2.0 m Alfred Jensch Telescope,
HD 14067 b,,,,,163.40,2014,1.88 m Telescope,
HD 141937 b,,,,,33.46,2002,1.2 m Leonhard Euler Telescope,
HD 142 b,,,,,25.64,2001,3.9 m Anglo-Australian Telescope,
HD 142 c,,,,,25.64,2012,3.9 m Anglo-Australian Telescope,
HD 142022 A b,,,,,35.87,2005,1.2 m Leonhard Euler Telescope,
HD 142245 b,,,,,106.38,2011,10 m Keck I Telescope,
HD 142415 b,,,,,34.57,2003,1.2 m Leonhard Euler Telescope,
HD 143361 b,,,,,59.35,2008,6.5 m Magellan II Clay Telescope,
HD 145377 b,,,,,55.19,2008,3.6 m ESO Telescope,
HD 145457 b,,,,,126.10,2010,8.2 m Subaru Telescope,
HD 145934 b,,,,,,2015,10 m Keck I Telescope,
HD 1461 b,,,,,23.44,2010,10 m Keck I Telescope,
HD 1461 c,,,,,23.44,2015,3.6 m ESO Telescope,
HD 147018 b,,,,,42.68,2009,1.2 m Leonhard Euler Telescope,
HD 147018 c,,,,,42.68,2009,1.2 m Leonhard Euler Telescope,
HD 147513 b,,,,,12.87,2003,1.2 m Leonhard Euler Telescope,
HD 148156 b,,,,,53.05,2009,3.6 m ESO Telescope,
HD 148427 b,,,,,59.28,2009,3.0 m C. Donald Shane Telescope,
HD 149026 b,9.113,116.95700,0.813,0.36800,78.86,2005,8.2 m Subaru Telescope,
HD 149143 b,,,,,63.49,2005,1.93 m Telescope,
HD 1502 b,,,,,167.50,2011,10 m Keck I Telescope,
HD 150706 b,,,,,27.23,2012,1.93 m Telescope,
HD 152079 b,,,,,85.18,2009,6.5 m Magellan II Clay Telescope,
