pl_hostname,pl_name,pl_rade,pl_radj,pl_massj,pl_masse,pl_dens,pl_eqt,pl_telescope,pl_facility,pl_disc,pl_discmethod,pl_pnum,pl_orbper,st_dist,st_optmag,st_teff,st_mass,st_rad,hip_name,hd_name,st_age,ra,dec,pl_pelink,pl_edelink,rowupdate
HD 207832,HD 207832 c,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2012,Radial Velocity,2,1155.70000000,55.31,8.786,5710.00,0.94,0.90,HIP 107985,HD 207832,,328.151184,-26.026560,http://exoplanet.eu/catalog/hd_207832_c/,http://exoplanets.org/detail/HD_207832_c,2015-09-10
HD 20794,HD 20794 b,,,,,,660,3.6 m ESO Telescope,La Silla Observatory,2011,Radial Velocity,3,18.31500000,6.06,4.270,5401.00,0.70,,HIP 15510,HD 20794,5.760,49.981876,-43.069782,http://exoplanet.eu/catalog/hd_20794_b/,http://exoplanets.org/detail/HD_20794_b,2015-08-27
HD 20794,HD 20794 c,,,,,,508,3.6 m ESO Telescope,La Silla Observatory,2011,Radial Velocity,3,40.11400000,6.06,4.270,5401.00,0.70,,HIP 15510,HD 20794,5.760,49.981876,-43.069782,http://exoplanet.eu/catalog/hd_20794_c/,http://exoplanets.org/detail/HD_20794_c,2015-08-27
HD 20794,HD 20794 d,,,,,,388,3.6 m ESO Telescope,La Silla Observatory,2011,Radial Velocity,3,90.30900000,6.06,4.270,5401.00,0.70,,HIP 15510,HD 20794,5.760,49.981876,-43.069782,http://exoplanet.eu/catalog/hd_20794_d/,http://exoplanets.org/detail/HD_20794_d,2015-08-27
HD 208487,HD 208487 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2004,Radial Velocity,1,130.08000000,44.00,7.471,6067.00,1.13,,HIP 108375,HD 208487,,329.332703,-37.763622,http://exoplanet.eu/catalog/hd_208487_b/,http://exoplanets.org/detail/HD_208487_b,2014-11-05
HD 208527,HD 208527 b,,,,,,,1.8 m Telescope,Bohyunsan Optical Astronomical Observatory,2012,Radial Velocity,1,875.50000000,352.11,6.400,4035.00,1.60,51.10,HIP 108296,HD 208527,2.000,329.099945,21.239859,http://exoplanet.eu/catalog/hd_208527_b/,http://exoplanets.org/detail/HD_208527_b,2014-05-14
HD 20868,HD 20868 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2008,Radial Velocity,1,380.85000000,48.90,9.920,4795.00,0.78,0.79,HIP 15578,HD 20868,4.500,50.177895,-33.730103,http://exoplanet.eu/catalog/hd_20868_b/,http://exoplanets.org/detail/HD_20868_b,2014-11-05
HD 209458,HD 209458 b,15.468,1.380,0.71400,226.92100,0.36200,1459,10 m Keck I Telescope,W. M. Keck Observatory,1999,Radial Velocity,1,3.52474859,47.08,,6117.00,1.15,1.16,HIP 108859,HD 209458,2.300,330.794891,18.884319,http://exoplanet.eu/catalog/hd_209458_b/,http://exoplanets.org/detail/HD_209458_b,2014-08-21
HD 210277,HD 210277 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,1998,Radial Velocity,1,442.19000000,21.29,6.530,5555.00,1.01,,HIP 109378,HD 210277,,332.374451,-7.548654,http://exoplanet.eu/catalog/hd_210277_b/,http://exoplanets.org/detail/HD_210277_b,2014-11-19
HD 210702,HD 210702 b,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2007,Radial Velocity,1,354.80000000,55.93,,4967.00,1.68,5.10,HIP 109577,HD 210702,,332.963867,16.040550,http://exoplanet.eu/catalog/hd_210702_b/,http://exoplanets.org/detail/HD_210702_b,2015-09-03
